bus_name,bus_id,node_index,x,y,county_fips,county_name,state_fips,state_name
p330 0,bus_8f62aaa3,68,-105.23097142857142,39.85019428571429,08059,Jefferson,08,Colorado
p330 1,bus_ea9a5826,69,-106.90666666666667,39.79840740740741,08037,Eagle,08,Colorado
p330 2,bus_4758ca28,70,-104.9031981981982,39.632690090090094,08031,Denver,08,Colorado
p330 3,bus_7b43cd6f,71,-108.4579875,39.17894375,08077,Mesa,08,Colorado
p330 4,bus_8de1847d,72,-103.20390476190477,40.54674285714285,08075,Logan,08,Colorado
p330 5,bus_98a02688,73,-104.98704166666666,40.416477083333334,08069,Larimer,08,Colorado
p340 0,bus_c320a5bb,74,-105.19738888888888,38.427886666666666,08043,Fremont,08,Colorado
p40 0,bus_e871390f,75,-119.630625,47.31644375,53025,Grant,53,Washington
p50 0,bus_0ebc27b0,76,-122.76882154720472,45.48258880678578,41067,Washington,41,Oregon
p50 1,bus_c3738028,77,-123.39887485862516,44.496522434991654,41003,Benton,41,Oregon
p50 2,bus_223725ef,78,-119.02234375,45.614878125,41059,Umatilla,41,Oregon
p50 3,bus_729ea750,79,-121.08681818181817,44.613822727272726,41031,Jefferson,41,Oregon
p590 0,bus_a6c17b63,80,-106.31230333333333,31.75501422222222,48141,El Paso,48,Texas
p60 0,bus_72a1796d,81,-123.32335692596088,42.7762454346993,41019,Douglas,41,Oregon
p70 0,bus_e896bf38,82,-118.41857142857144,43.55137142857143,41025,Harney,41,Oregon
p80 0,bus_71250074,83,-121.62275,41.203275,06093,Siskiyou,06,California
p90 0,bus_edbcf76e,84,-121.95623498682119,37.29320158594877,06085,Santa Clara,06,California
p90 1,bus_0839dc60,85,-121.41195833333335,38.62774270833334,06067,Sacramento,06,California
p90 10,bus_f64dd56d,86,-122.26342424242425,40.61115757575758,06089,Shasta,06,California
p90 11,bus_d8cdeef0,87,-121.33766666666666,37.92392745098039,06077,San Joaquin,06,California
p90 12,bus_7aa9f82d,88,-121.75917187832563,36.584944573418106,06053,Monterey,06,California
p90 13,bus_bfbfccd3,89,-120.65616250000001,38.90123,06017,El Dorado,06,California
p90 14,bus_a9c5a155,90,-122.45001919857518,37.78705364985562,06075,San Francisco,06,California
p90 15,bus_f3866934,91,-122.01930136986302,38.11197123287671,06095,Solano,06,California
p90 16,bus_8e5397ad,92,-123.87993394791624,39.23322793993962,00nan,,nan,
p90 2,bus_ff12b4ae,93,-120.22142685843974,34.16441054442526,00nan,,nan,
p90 3,bus_4a126bb0,94,-119.75115384615385,36.783966666666664,06019,Fresno,06,California
p90 4,bus_f2a79736,95,-124.59983735331494,40.97775719388165,00nan,,nan,
p90 5,bus_119cb5c2,96,-122.09331578947369,37.66495921052632,06001,Alameda,06,California
p90 6,bus_81ec537e,97,-120.71532075471698,37.544881132075474,06099,Stanislaus,06,California
p90 7,bus_57dc5183,98,-121.5718,39.54290444444444,06007,Butte,06,California
p90 8,bus_eebefd65,99,-122.78526983971031,38.5026392598057,06097,Sonoma,06,California
p90 9,bus_edb2ebc1,100,-120.80622676012533,35.41219092935514,06079,San Luis Obispo,06,California
