node,land_usd_per_acre
0,8480.456248
1,2020.447194
2,7772.602841
3,1973.634174
4,3119.964026
5,24635.08028
6,2392.987668
7,1973.634174
8,8480.456248
9,8480.456248
10,8725.348266
11,2553.699748
12,2553.699748
13,3510.788217
14,3119.964026
15,24635.08028
16,2020.447194
17,8725.348266
18,3510.788217
19,2392.987668
20,7772.602841
21,3510.788217
22,8480.456248
23,7772.602841
24,3119.964026
25,3119.964026
26,7772.602841
27,24635.08028
28,8480.456248
29,3510.788217
30,3119.964026
31,8480.456248
32,3510.788217
33,8480.456248
34,1973.634174
35,8725.348266
36,361.0694103
37,7891.909606
38,512.9580264
39,512.9580264
40,7891.909606
41,512.9580264
42,7891.909606
43,7891.909606
44,7891.909606
45,7891.909606
46,512.9580264
47,2538.003339
48,1908.238236
49,7891.909606
50,1056.763929
51,7891.909606
52,7891.909606
53,512.9580264
54,7891.909606
55,7891.909606
56,695.3618387
57,2538.003339
58,2355.908053
59,512.9580264
60,247426.4685
61,1908.238236
62,7891.909606
63,7891.909606
64,695.3618387
65,512.9580264
66,247426.4685
67,512.9580264
68,1908.238236
69,1908.238236
70,512.9580264
71,695.3618387
72,695.3618387
73,695.3618387
74,7891.909606
75,512.9580264
76,3510.788217
77,7891.909606
78,1908.238236
79,7891.909606
80,7891.909606
81,695.3618387
82,2679.732815
83,2679.732815
84,7891.909606
85,695.3618387
86,247426.4685
87,512.9580264
88,7891.909606
89,512.9580264
90,2538.003339
91,695.3618387
92,7891.909606
93,361.0694103
94,2538.003339
95,2538.003339
96,1908.238236
97,247426.4685
98,512.9580264
99,7891.909606
100,7891.909606
101,3510.788217
102,1908.238236
103,1908.238236
104,7891.909606
105,247426.4685
106,7891.909606
107,2679.732815
108,2538.003339
109,695.3618387
110,695.3618387
111,7891.909606
112,512.9580264
113,695.3618387
114,695.3618387
115,7891.909606
116,512.9580264
117,7891.909606
118,3510.788217
119,1908.238236
120,7891.909606
121,695.3618387
122,2679.732815
123,247426.4685
124,1908.238236
125,2679.732815
126,2355.908053
127,7891.909606
128,695.3618387
129,2679.732815
130,247426.4685
131,512.9580264
132,512.9580264
133,3510.788217
134,361.0694103
135,695.3618387
136,1908.238236
137,7891.909606
138,695.3618387
139,7891.909606
140,7891.909606
141,2538.003339
142,7891.909606
143,7891.909606
144,7891.909606
145,7891.909606
146,695.3618387
147,247426.4685
148,7891.909606
149,6714.949099
150,3510.788217
151,6714.949099
152,6714.949099
153,6714.949099
154,6714.949099
155,6714.949099
156,6714.949099
157,6714.949099
158,6714.949099
159,6714.949099
160,6714.949099
161,6714.949099
162,6714.949099
163,3510.788217
164,6714.949099
165,6714.949099
166,6714.949099
167,3644.210456
168,3349.004913
169,345.471889
170,230.907844
171,431.5566233
172,1398.245487
173,3349.004913
174,3349.004913
175,3349.004913
176,3349.004913
177,3349.004913
178,3349.004913
179,3349.004913
180,3349.004913
181,3349.004913
182,3349.004913
183,3349.004913
184,3349.004913
185,3349.004913
186,3349.004913
187,3349.004913
188,3349.004913
189,3349.004913
190,3349.004913
191,2689.536067
192,2283.618201
193,5212.936622
194,2333.406959
195,2504.385539
196,1193.072683
197,1118.245445
198,10671.33969
199,6714.731371
200,1079.147303
201,4727.824516
202,2065.6404
203,1982.139306
204,5173.696309
205,1149.468506
206,602.4872368
207,4099.832693
208,1941.466935
209,2030.757
210,2264.66957
211,1213.396613
212,3510.788217
213,21746.97621
214,2030.757
215,3510.788217
216,6061.431301
217,963.5710031
218,591.6296606
219,4844.342432
220,2058.411549
221,1064.840476
222,1327.635919
223,1356.340541
224,1325.965043
225,23130.5792
226,3327.671098
227,23130.5792
228,2290.1392
229,2714.497778
230,1201.191668
231,1991.919272
232,7189.462913
233,8343.852873
234,7189.462913
235,23130.5792
236,1512.032552
237,7189.462913
