x,y,county_fips,county_name,state_fips,state_name,nerc_reg,trans_reg,trans_grp,reeds_state
-112.2711233,33.52248287671233,04013,Maricopa,04,Arizona,WECC_SRSG,WestConnect,WestConnect_South,AZ
-110.2079444,34.35554444444445,04017,Navajo,04,Arizona,WECC_SRSG,WestConnect,WestConnect_South,AZ
-111.5485333,35.10149333333333,04005,Coconino,04,Arizona,WECC_SRSG,WestConnect,WestConnect_South,AZ
-110.8400714,36.39522857142857,04005,Coconino,04,Arizona,WECC_SRSG,WestConnect,WestConnect_South,AZ
-111.36644,32.944516,04021,Pinal,04,Arizona,WECC_SRSG,WestConnect,WestConnect_South,AZ
-109.747,32.873066666666666,04009,Graham,04,Arizona,WECC_SRSG,WestConnect,WestConnect_South,AZ
-109.4171364,35.529013636363636,04001,Apache,04,Arizona,WECC_SRSG,WestConnect,WestConnect_South,AZ
-117.9307302,47.78332857142858,53043,Lincoln,53,Washington,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA
-111.0058955,32.161874626865675,04019,Pima,04,Arizona,WECC_SRSG,WestConnect,WestConnect_South,AZ
-106.9018526,34.60113333333333,35061,Valencia,35,New Mexico,WECC_SRSG,WestConnect,WestConnect_South,NM
-105.2309714,39.85019428571429,08059,Jefferson,08,Colorado,WECC_NWPP,WestConnect,WestConnect_North,CO
-106.9066667,39.79840740740741,08037,Eagle,08,Colorado,WECC_NWPP,WestConnect,WestConnect_North,CO
-104.9031982,39.632690090090094,08031,Denver,08,Colorado,WECC_NWPP,WestConnect,WestConnect_North,CO
-108.4579875,39.17894375,08077,Mesa,08,Colorado,WECC_NWPP,WestConnect,WestConnect_North,CO
-103.2039048,40.54674285714285,08075,Logan,08,Colorado,WECC_NWPP,WestConnect,WestConnect_North,CO
-104.9870417,40.416477083333334,08069,Larimer,08,Colorado,WECC_NWPP,WestConnect,WestConnect_North,CO
-105.1973889,38.427886666666666,08043,Fremont,08,Colorado,WECC_NWPP,WestConnect,WestConnect_North,CO
-119.630625,47.31644375,53025,Grant,53,Washington,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA
-122.7688215,45.48258880678578,41067,Washington,41,Oregon,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR
-123.3988749,44.496522434991654,41003,Benton,41,Oregon,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR
-119.0223438,45.61487813,41059,Umatilla,41,Oregon,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR
